,CODGEO,LIBGEO,TauxProprietaires,TauxChomage,NiveauVieMedian,MacronExpIns,MacronExpVote
262,77273,Marchémoret,75,7.894736842,24737,"69,79","88,81"
263,77274,Marcilly,67.37967914,7.835820896,24489,"71,96","89,53"
264,77275,Les Marêts,91.83673469,10.9375,21840,"55,17",80
265,77276,Mareuil-lès-Meaux,69.13705584,12.37337192,24304,"69,3","87,59"
266,77277,Marles-en-Brie,86.88811189,8.711217184,25367,"68,06","87,68"
267,77278,Marolles-en-Brie,87.07482993,10,24379,"68,55","88,17"
268,77278,Marolles-en-Brie,87.07482993,10,24379,"67,95","88,26"
269,77279,Marolles-sur-Seine,80.69620253,8.015267176,22146,"68,07","86,58"
270,77280,Mary-sur-Marne,83.73626374,8.275862069,24054,"66,15","85,83"
271,77281,Mauperthuis,83.75634518,9.36329588,24907,"62,89","89,18"
272,77282,Mauregard,69.64285714,14.12429379,23069,"74,22","90,27"
273,77283,May-en-Multien,85.7605178,12.05073996,21935,"66,78","88,73"
274,77284,Meaux,38.02352726,15.98623853,18259,"62,86","89,68"
275,77285,Le Mée-sur-Seine,39.37250868,19.36808847,17643,"61,41","88,9"
276,77286,Meigneux,92.39130435,7.258064516,24987,"85,71","93,41"
277,77287,Meilleray,88.83248731,16.59574468,19598,"65,51","88,29"
278,77288,Melun,30.67834707,16.57628159,17467,"55,98","90,17"
279,77289,Melz-sur-Seine,87.91946309,7.647058824,21090,"68,32","89,07"
280,77290,Méry-sur-Marne,90.94488189,9.705882353,23814,"66,51","90,03"
281,77291,Le Mesnil-Amelot,44.69453376,12.9787234,21310,"69,12","92,42"
282,77292,Messy,68.69158879,5.573248408,26842,"66,57","85,66"
283,77293,Misy-sur-Yonne,86.53846154,11.0864745,22505,"68,39","91,06"
284,77294,Mitry-Mory,60.80110497,13.5118498,21333,"64,5","89,03"
285,77295,Moisenay,88.48368522,4.005722461,27698,"71,69","88,65"
286,77296,Moissy-Cramayel,57.68809636,12.74768824,20508,"64,52","87,29"
287,77297,Mondreville,89.20863309,11.17021277,23158,"61,86","81,45"
288,77297,Mondreville,89.20863309,11.17021277,23158,"72,63","85,78"
289,77298,Mons-en-Montois,84.45595855,11.11111111,22256,"63,51","78,86"
290,77300,Montceaux-lès-Meaux,83.96624473,8.544303797,25588,"66,8","87,23"
291,77301,Montceaux-lès-Provins,90.29850746,13.25301205,21080,"74,58","88,18"
292,77302,Montcourt-Fromonville,87.96068796,9.39167556,24398,"69,54","88,4"
293,77303,Montdauphin,80.64516129,16.94915254,21830,"69,19","84,21"
294,77304,Montenils,84.61538462,0,,"66,67",88
295,77305,Montereau-Fault-Yonne,25.81370733,25.01624431,14933,"58,83","88,04"
296,77306,Montereau-sur-le-Jard,74.62686567,6.270627063,26721,"67,99","88,18"
297,77307,Montévrain,46.76891616,8.152335614,24837,"69,41","90,34"
298,77308,Montgé-en-Goële,87.59124088,10.07556675,25905,"69,18","85,93"
299,77309,Monthyon,85.92471358,9.634551495,24065,"75,27","89,84"
300,77310,Montigny-le-Guesdier,93.27731092,12.83783784,22217,"68,78","88,11"
301,77311,Montigny-Lencoup,87.28323699,8.196721311,23268,"66,42","84,19"
302,77312,Montigny-sur-Loing,81.00172712,6.932931424,26051,"69,39","89,23"
303,77313,Montmachoux,90.32258065,10.63829787,24553,"69,59","85,44"
304,77314,Montolivet,88.63636364,14.4,21761,"69,15","90,26"
305,77315,Montry,81.63841808,7.982261641,25462,"68,59","87,26"
306,77316,Moret-Loing-et-Orvanne,72.57878555,9.813476727,24997,"67,42","88,11"
307,77317,Mormant,52.32815965,14.32823129,20873,"65,41","89,07"
308,77318,Mortcerf,75.79737336,7.64075067,24904,"68,53","88,09"
309,77319,Mortery,80.64516129,10.97560976,21772,"76,07","90,82"
310,77320,Mouroux,81.94097049,11.40483384,22891,"66,73","89,04"
311,77321,Mousseaux-lès-Bray,84.17508418,14.95601173,20529,"65,67","85,57"
312,77322,Moussy-le-Neuf,79.6579658,7.841945289,25258,"67,7","87,33"
313,77323,Moussy-le-Vieux,68.359375,8.571428571,24581,"66,67","87,39"
314,77325,Mouy-sur-Seine,82.71604938,10.52631579,21746,"61,28","85,05"
315,77326,Nandy,63.0859375,11.30434783,22249,"63,5","88,12"
316,77327,Nangis,45.8455237,16.42105263,18193,"61,27","89,22"
317,77328,Nanteau-sur-Essonne,86.20689655,6.806282723,25396,"71,88","87,63"
318,77329,Nanteau-sur-Lunain,80.17241379,4.126213592,25082,"68,28","84,86"
319,77330,Nanteuil-lès-Meaux,74.69982847,8.91535243,23738,"66,32","88,91"
320,77331,Nanteuil-sur-Marne,76.79558011,13.92405063,21182,"61,86","82,83"
321,77332,Nantouillet,79.59183673,5.128205128,25138,"72,22","93,53"
322,77333,Nemours,37.59915389,18.03580392,17677,"60,76","88,13"
323,77335,Chauconin-Neufmontiers,84.7960445,6.370494552,24268,"67,38","86,36"
324,77336,Neufmoutiers-en-Brie,75.6232687,7.614213198,25692,"68,36","85,69"
325,77337,Noisiel,51.39931741,15.5509517,19287,"64,76","90,89"
326,77338,Noisy-Rudignon,90.27777778,8.626198083,22959,"68,12","88,4"
327,77339,Noisy-sur-École,90.20887728,8.041958042,30512,,
328,77340,Nonville,93.03278689,8.75,25900,"70,85","87,5"
329,77341,Noyen-sur-Seine,82.1192053,12.5,21458,"74,44","90,83"
330,77342,Obsonville,68.75,10,23959,"58,59","81,69"
331,77343,Ocquerre,70.46979866,11.29707113,22939,"61,02","85,16"
332,77344,Oissery,86.59217877,8.515815085,24958,"69,51","89,3"
333,77345,Orly-sur-Morin,82.12927757,10.4519774,22855,"66,73","87,04"
334,77347,Les Ormes-sur-Voulzie,88.39285714,8.625336927,21839,"68,15","89,35"
335,77348,Ormesson,88,13.44537815,27558,"72,31","90,97"
336,77349,Othis,77.53036437,10.02027223,24813,"65,58","87,1"
337,77350,Ozoir-la-Ferrière,68.31695967,9.858340561,25322,"65,29","89,4"
338,77352,Ozouer-le-Voulgis,86.8852459,7.396149949,26054,"65,34","88,07"
339,77353,Paley,89.01098901,9.547738693,25357,"73,32","86,9"
340,77354,Pamfou,92.62536873,5.984555985,23844,"69,69","88,64"
341,77355,Paroy,92.10526316,10,24010,"77,55","87,02"
342,77356,Passy-sur-Seine,90.90909091,12,,"60,38","74,42"
343,77357,Pécy,81.21019108,7.75862069,23288,"66,01","86,58"
344,77358,Penchard,82.91457286,8.865248227,25320,"68,31","87,26"
345,77359,Perthes,81.40703518,7.983193277,27158,"72,24","88,82"
346,77360,Pézarches,88.57142857,9.047619048,24488,"70,32","88,44"
347,77361,Pierre-Levée,80.55555556,6.976744186,24369,"70,06","89,31"
348,77363,Le Pin,80.2238806,6.605019815,25463,"68,02","86,76"
349,77364,Le Plessis-aux-Bois,75.53191489,7.647058824,22720,"57,89","85,44"
350,77365,Le Plessis-Feu-Aussoux,87.43718593,4.682274247,25747,"75,54","90,55"
