,insee,TauxProprietaires,TauxChomage,NiveauVieMedian
30417,77456,90.9375,10.15625,22287
30418,77457,84.17849899,6.485671192,24161
30419,77458,59.20810313,20.49044057,19043
30420,77459,75.71428571,9.662576687,20735
30421,77460,80.14705882,7.446808511,23567
30422,77461,89.56521739,7.333333333,23175
30423,77462,57.09876543,7.860262009,22428
30424,77463,83.47222222,7.559926245,27098
30425,77464,59.62701613,10.2320888,23538
30426,77465,85.13011152,8.743169399,23672
30427,77466,89.87341772,8.737864078,26689
30428,77467,89.58333333,15.83333333,21503
30429,77468,45.67114094,13.24387398,19509
30430,77469,84.61538462,9.984399376,24249
30431,77470,56.21921182,11.98600175,23347
30432,77471,88.38709677,11.96172249,24399
30433,77472,89.01098901,9.829059829,22043
30434,77473,85.34031414,3.982300885,25549
30435,77474,75.28957529,7.37704918,23634
30436,77475,75.67020738,10.07311129,24065
30437,77476,76.59574468,5.426356589,24106
30438,77477,89.42857143,10.4368932,25202
30439,77478,72.84263959,12.75797373,22288
30440,77479,58.52861035,11.27713117,24047
30441,77480,73.75415282,12.47165533,22153
30442,77481,82.60869565,12.8440367,23408
30443,77482,61.33144476,16.87458963,19836
30444,77483,79.03225806,10.24590164,24084
30445,77484,87.77777778,3.731343284,24551
30446,77485,90.67524116,9.971509972,26051
30447,77486,80.81761006,11.57024793,23155
30448,77487,71.24405167,8.932461874,25173
30449,77489,94.11764706,14.70588235,23430
30450,77490,78.98550725,10.91370558,21474
30451,77492,79.72972973,12.53561254,22242
30452,77493,64.45578231,10.65332549,22830
30453,77494,87.25099602,10.57401813,24157
30454,77495,76.80318956,10.71826281,24095
30455,77496,97.18309859,7.446808511,23756
30456,77498,86.36363636,5,23508
30457,77500,91.47727273,9.302325581,22022
30458,77501,90,8.554572271,25310
30459,77504,92,6.427221172,23603
30460,77505,90.51094891,9.589041096,25377
30461,77506,85.96491228,8.648648649,23756
30462,77507,82.7027027,11.16504854,19828
30463,77508,74.07912688,9.309623431,25898
30464,77509,86.25,10.81871345,22991
30465,77510,70.98976109,7.178217822,27679
30466,77511,49.60629921,10.8401084,21332
30467,77512,81.99566161,14.92537313,20432
30468,77513,57.30569948,10.1509434,23119
30469,77514,56.68481549,12.25527394,20835
30470,77515,86.93877551,8.333333333,24732
30471,77516,93.06930693,7.614213198,24187
30472,77517,85.90704648,7.988450433,25751
30473,77518,79.26829268,5.93220339,29864
30474,77519,73.96313364,14.28571429,19697
30475,77520,90.40247678,8.059701493,26394
30476,77521,85.75342466,8.713272543,25313
30477,77522,91.73553719,13.38028169,20489
30478,77523,89.65517241,7.272727273,22081
30479,77524,88.5,12.17712177,22728
30480,77525,80.74074074,11.57407407,25123
30481,77526,73.73737374,5.202312139,24443
30482,77527,91.1627907,10.28037383,24597
30483,77528,91.76755448,5.871559633,26696
30484,77529,87.99313894,8.355091384,26591
30485,77530,90.16393443,11.19402985,23693
30486,77531,76.9123783,11.33757962,21013
30487,77532,53.57142857,5.128205128,
30488,77533,89.73843058,8.857615894,28307
30489,77534,86.2295082,6.23655914,25294
30490,78003,82.52427184,7.546115148,24864
30491,78005,39.64700308,13.35507837,21431
30492,78006,90.25974026,7.65171504,27306
30493,78007,84.67532468,7.37527115,38599
30494,78009,88.28828829,10.65088757,23660
30495,78010,91.18942731,7.454545455,33469
30496,78013,86.22754491,6.140350877,28186
30497,78015,70.42520881,8.828996283,27557
30498,78020,82.55813953,6.790123457,28102
30499,78029,51.33007023,13.6559325,20832
30500,78030,81.03864734,5.760869565,30030
30501,78031,84.82490272,7.384615385,27853
30502,78033,88.15789474,8.376068376,27524
30503,78034,94.58689459,5.773195876,30357
30504,78036,86.66666667,6.986899563,32926
30505,78043,80.6984127,7.242848448,35650
30506,78048,88.80597015,4.427083333,28476
30507,78049,90.95315024,6.509695291,31854
30508,78050,88.74458874,8.305647841,34769
30509,78053,88,5.288461538,30737
30510,78057,85.40540541,9.425785482,24102
30511,78062,78.58336118,6.517259145,27884
30512,78068,87.7245509,10.61320755,24258
30513,78070,78.68852459,3.289473684,26892
30514,78071,91.11111111,4.87012987,24913
30515,78072,89.56521739,7.096774194,30345
30516,78073,61.58240997,7.292506044,25497
30517,78076,81.65137615,12.5,26109
30518,78077,78.37837838,8.831168831,25017
30519,78082,72.83950617,11.40939597,24047
30520,78084,86.00823045,5.325443787,28390
30521,78087,79.50713359,7.407407407,28218
30522,78089,46.28937533,14.88616462,19959
30523,78090,76.12456747,10.73080481,26103
30524,78092,63.61358575,9.530418691,30528
30525,78096,80.75117371,8.064516129,30123
30526,78104,79.77941176,9.705882353,26672
30527,78107,80.15665796,7.865168539,25335
30528,78108,74.4014733,8.268330733,28471
30529,78113,83.01158301,7.180851064,25593
30530,78117,66.54072208,7.027406887,33116
30531,78118,67.13164778,12.77705346,22078
30532,78120,87.10601719,7.374301676,30346
30533,78123,37.76714514,14.4966443,20035
30534,78124,64.90245971,9.106152457,29277
30535,78125,90.03021148,8.495145631,33338
30536,78126,53.61310857,9.775756949,27949
30537,78128,84.6749226,6.010928962,31847
30538,78133,62.05376818,10.62745098,31110
30539,78138,42.07730894,19.55364455,17594
30540,78140,92.12765957,7.5,31657
30541,78143,84.55598456,6.789250354,34954
30542,78146,59.79653646,8.548460885,30498
30543,78147,90.75144509,9.210526316,25795
30544,78152,85.73573574,7.525510204,38571
30545,78158,59.18700292,7.978905554,31483
30546,78160,64.44826106,6.528081692,30295
30547,78162,81.46341463,12.14574899,32643
30548,78163,84.09090909,8.522727273,26952
30549,78164,69.83606557,9.382716049,32815
30550,78165,66.33580316,10.31938199,23903
30551,78168,50.46296296,11.91634241,22116
30552,78171,87.13968958,8.631921824,28468
30553,78172,63.16804801,8.877330372,24430
30554,78185,90.12345679,9.356725146,30735
30555,78188,90.06622517,9.90990991,24563
30556,78189,85.69078947,6.944444444,34105
30557,78190,68.31560722,6.400701447,37318
30558,78192,81.40589569,9.380234506,24263
30559,78193,77.77777778,8.076923077,32817
30560,78194,78.02197802,10.20408163,30899
